linkDescription,hours
"Business Hour : 7.00am to 3.00pm
Rest day : Sunday
Updated 16/4/2022",7.00am to 3.00pm
"Business Hour : 9.00am to 4.30pm 
Rest day : Tuesday 
Updated 9/4/2022",9.00am to 4.30pm
"Business Hour : 10.30am to 6.00pm Rest day : one day in a month (on weekdays)
Updated 31/5/2022",10.30am to 6.00pm
"Business Hour : 7.00am to 2.00pm , 6.00pm to 8.00pm
Open daily 
Updated 13/4/2022","7.00am to 2.00pm , 6.00pm to 8.00pm"
"Business Hour : 7.00am to 2.00pm, 5.30pm to 9.00pm
Rest day : Monday (if 1st & 15th of lunar month fall on Monday , next day will be their rest day) 
Updated 3/4/2022

","7.00am to 2.00pm, 5.30pm to 9.00pm"
"Business Hour: 8.00am to 11.00pm 
Open daily
Updated 18/4/2022",
"Business Hour : 6.30am to 10.30am 
Rest day : Sunday
Updated 19/4/2022",6.30am to 10.30am
"Business Hour : 8.00am to 3.00pm 
Rest day : Sunday  
Updated 19/7/2022",8.00am to 3.00pm
"Business Hour : 8.00am to 2.30pm, 5.00pm to 8.30pm
Rest day : Monday  
Updated 14/8/2022

","8.00am to 2.30pm, 5.00pm to 8.30pm"
"Business Hour : 8.00am to 10.00pm 
Rest day : uncertain
Updated 10/2/2022",8.00am to 10.00pm
"Business Hour : 12.00pm to 2.00pm , 6.00pm to 8.00pm
Rest day : Monday & Tuesday
Updated 30/6/2022","12.00pm to 2.00pm , 6.00pm to 8.00pm"
"Business Hour : 6.00am to 10.00am 
Rest day : Sunday 
Updated 19/5/2022

",6.00am to 10.00am
"Business Hour : 2.00pm to 8.15pm
Rest day : uncertain (3 days a month)
Updated 19/4/2022",2.00pm to 8.15pm
"Business Hour : 7.30am to 2.30pm
Rest day : Sunday & Public Holidays
Updated 12/7/2022",7.30am to 2.30pm
"Business Hour : 9.00am to 1.30pm
Rest day : Monday to Wednesday
Updated 9/6/2022",9.00am to 1.30pm
"Business Hour : 7.00am to 12.00pm
Open daily
Updated 12/6/2022",7.00am to 12.00pm
"Business Hour : 10.00am to to 8.00pm
Rest day : Monday
Updated 28/8/2022",10.00am to to 8.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : Saturday

Updated 27/5/2022",7.00am to 2.00pm
"Business Hour : 6.45am to 12.00pm 
Rest day : Wednesday
Updated 14/5/2022",6.45am to 12.00pm
"Business Hour : 7.00am to 11.00am 
Rest day : Monday
Updated 24/5/2022
",7.00am to 11.00am
"Business Hour : 5.00pm to 10.00pm
Rest day : Saturday
Updated 1/6/2022",5.00pm to 10.00pm
"Business Hour : 8.00am to 2.00pm ; 1st & 15th of lunar month 7.00am to 2.00pm 
Rest day : uncertain 
Updated 1/6/2022",8.00am to 2.00pm ; 1st & 15th of lunar month 7.00am to 2.00pm
"Business Hour : 10.30am to 8.30pm
Open daily
Updated 20/4/2022",10.30am to 8.30pm
"Business Hour : 7.00am to 11.30am 
Rest day : uncertain (twice a month) 
Updated 14/5/2022",7.00am to 11.30am
"Business Hour : 10.30am to 2.30pm , 5.00pm to 9.00pm 
Rest day : Monday
Updated 24/5/2022

","10.30am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 4.30pm to 10.00pm 
Rest day : Wednesday Updated 14/4/2022",4.30pm to 10.00pm
"Business Hour : 7.00am to 1.00pm 
Rest day : uncertain ( 2 days in a month ) 
Updated 24/5/2022",7.00am to 1.00pm
"Business Hour : 11.00am to 2.30pm , 5.45pm to 9.15pm
Rest day : Wednesday (if 1st & 15th of lunar month fall on Wednesday , next day will be their rest day)
Updated 2/4/2022","11.00am to 2.30pm , 5.45pm to 9.15pm"
"Business Hour : 7.00am to 3.00pm 
Rest day : 2nd & 16th of lunar month 
Updated 24/5/2022",7.00am to 3.00pm
"Business Hour : 5.00pm to 9.00pm ; weekends 5.00pm to 9.30pm
Open daily 
Updated 4/5/2022",5.00pm to 9.00pm ; weekends 5.00pm to 9.30pm
"Business Hour : 7.00am to 11.00am
Rest day : Monday, 2nd & 16th of lunar month (if 1st & 15th of lunar month fall on Monday, next day will be their rest day)
Updated 29/4/2022
",7.00am to 11.00am
"Business Hour :  6.30am to 2.00pm ; Saturday 7.00am to 2.00pm ; Sunday 7.00am to 12.00pm
Rest day : 2nd & 16th of lunar month  
Updated 18/7/2022",6.30am to 2.00pm ; Saturday 7.00am to 2.00pm ; Sunday 7.00am to 12.00pm
Business Hour : 7.00am to 1.30pm Rest day : Sunday & Public Holidays Updated 21/5/2022,7.00am to 1.30pm
"Business Hour : 10.30am to 2.00pm , 5.00pm to 9.00pm 
Rest day : Monday 
Updated 5/1/2022","10.30am to 2.00pm , 5.00pm to 9.00pm"
"Business Hour : 10.30am to 9.00pm
Rest day : Friday  
Updated 14/5/2022",10.30am to 9.00pm
"Business Hour : 11.00am to 2.30pm , 5.00pm to 8.30pm
Rest day : Monday & Tuesday
Updated 14/5/2022","11.00am to 2.30pm , 5.00pm to 8.30pm"
"Business Hour : 6.00am to 4.00pm 
Rest day : 2nd & 16th of lunar month 
Updated 24/5/2022",6.00am to 4.00pm
"Business Hour : 12.00pm to 2.30pm , 5.00pm to 9.00pm 
Rest day : uncertain Updated 2/4/2022","12.00pm to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 9.00am to 9.00pm 
Open daily 
Updated 20/4/2022",9.00am to 9.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : alternate Tuesday  
Updated 7/4/2022",7.00am to 2.30pm
"Business Hour : 7.00am to 2.30pm
Rest day : 2nd, 3rd, 16th & 17th of lunar month Updated 2/4/2022",7.00am to 2.30pm
"Business Hour : 11.30am to 2.00pm , 5.30pm to 8.30pm
Rest day : Friday
Updated 24/5/2022","11.30am to 2.00pm , 5.30pm to 8.30pm"
"Business Hour : 9.30am to 2.30pm , 5.00pm to 9.00pm
Rest day : Thursday 
Updated 14/4/2022","9.30am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 10.45am to 2.15pm , 5.45pm to 9.00pm 
Rest day : 2nd, 3rd, 16th & 17th of lunar month (except Saturday & Sunday, will be replace by Monday & Tuesday) 
Updated 24/5/2022

","10.45am to 2.15pm , 5.45pm to 9.00pm"
"Business Hour : 7.30am to 3.00pm 
Rest day : Sunday 
Updated 24/5/2022",7.30am to 3.00pm
"Business Hour : 6.30am to 10.30pm 
Open daily 
Updated 14/7/2022	",6.30am to 10.30pm
"Business Hour : 10.30am to 3.30pm ; 1st & 15th of lunar month 7.00am to 3.30pm 
Rest day : 2nd , 3rd , 16th & 17th of lunar month ( If 2nd , 3rd , 16th & 17th of lunar month fall on Saturday & Sunday , rest day will be Monday & Tuesday)
Updated 25/5/2022
 ",10.30am to 3.30pm ; 1st & 15th of lunar month 7.00am to 3.30pm
"Business Hour : 11.00am to 2.30pm , 5.30pm to 9.30pm 
Rest day : Thursday (Public Holidays & School holidays will rest for one or two days)
Updated 24/5/2022

","11.00am to 2.30pm , 5.30pm to 9.30pm"
"Business Hour : 11.00am to 10.00pm
Open daily  
Updated 24/5/2022",11.00am to 10.00pm
"Business Hour : 6.30am to 1.30pm 
Rest day : uncertain (once a month) 
Updated 24/3/2022	",6.30am to 1.30pm
"Business Hour : 6.15am to 1.00pm  
Rest day : Sunday 
Updated 9/4/2022",6.15am to 1.00pm
"Business Hour : 7.00am to 1.00pm 
Rest day: Friday to Saturday & Public Holidays  
Updated 1/4/2022",7.00am to 1.00pm
"Business Hour : 11.00am to 2.30pm , 6.00pm to 9.30pm
Rest day : End of the month off 2 days
Updated 4/5/2022

","11.00am to 2.30pm , 6.00pm to 9.30pm"
"Business Hour : 6.00am to 2.00pm
Rest day : alternate Monday  
Updated 3/6/2022",6.00am to 2.00pm
"Business Hour : 12.30pm to 9.00pm
Rest day : Friday ( if 1st & 15th of lunar month fall on Friday, Thursday will be their rest day )
Updated 24/5/2022",12.30pm to 9.00pm
"Business Hour : 6.45am to 11.00am 
Rest day : Monday to Wednesday 
Updated 25/5/2022",6.45am to 11.00am
"Business Hour : 4.00pm to 9.30pm 
Rest day : Tuesday (if 1st & 15th of lunar month fall on Tuesday,next day will be their rest day)
Updated 25/5/2022",4.00pm to 9.30pm
"Business Hour : 11.15am to 2.30pm , 5.00pm to 7.50pm  
Rest day : Friday 
Updated 21/5/2022

","11.15am to 2.30pm , 5.00pm to 7.50pm"
"Business Hour : 7.30am to 12.00pm
Rest day : Monday
Updated 5/1/2022",7.30am to 12.00pm
"Business Hour : 9.00am to 2.30pm , 5.00pm to 8.30pm
Rest day : Monday
Updated 21/5/2022
  ","9.00am to 2.30pm , 5.00pm to 8.30pm"
"Business Hour : 7.30am to 6.30pm 
Rest day : Sunday (if 1st & 15th of lunar month fall on Monday , Sunday will be open as usual）
Updated 24/5/2022",7.30am to 6.30pm
"Business Hour : 10.00am to 9.00pm 
Open daily 
Updated 30/4/2022",10.00am to 9.00pm
"Business Hour : 8.00am to 8.00pm ; Friday 8.00am to 7.00pm
Open daily 
Updated 30/4/2022",8.00am to 8.00pm ; Friday 8.00am to 7.00pm
"Business Hour : 11.00am to 2.30pm , 6.00pm to 9.00pm 
Rest day : Tuesday 
Updated 26/5/2022


","11.00am to 2.30pm , 6.00pm to 9.00pm"
"Business Hour : 10.30am to 8.30pm Rest day : Tuesday (If 1st & 15th of lunar month fall on Tuesday, next day will be their rest day.)
Updated 18/5/2022",10.30am to 8.30pm
"Business Hour : 11.00am to 2.45pm, 5.00pm to 8.45pm 
Rest day : Monday, (if 1st & 15th of lunar month fall on Monday , next day will be their rest day)
Updated 21/5/2022

 ","11.00am to 2.45pm, 5.00pm to 8.45pm"
"Business Hour : 6.30am to 1.30pm
Rest day ：Tuesday (if 1st & 15th of lunar month fall on Tuesday , next day will be their rest day) 
Updated 21/5/2022",6.30am to 1.30pm
"Business Hour : 7.30am to 2.00pm ; Saturday 9.30am to 1.30pm 
Rest day : Sunday
Updated 22/5/2022",7.30am to 2.00pm ; Saturday 9.30am to 1.30pm
"Business Hour : 7.00am to 2.00pm, 5.00pm to 7.45pm
Rest day : Sunday
Updated 15/5/2022

","7.00am to 2.00pm, 5.00pm to 7.45pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : Thursday, (if 1st & 15th of lunar month fall on Thursday ,next day will be their rest day )
Updated 28/5/2022",7.00am to 2.00pm
"Business Hour : 10.30am to 9.30pm 
Rest day : Wednesday
Updated 16/8/2022",10.30am to 9.30pm
"Business Hour : 7.00am to 3.00pm
Rest day : Tuesday ( if 1st & 15th fall on their rest day, Wednesday will be their rest day)
Updated 24/5/2022",7.00am to 3.00pm
"Business Hour : 7.00am to 2.15pm 
Rest day : Sunday 
Updated 7/3/2022",7.00am to 2.15pm
"Business Hour :  9.00am to 3.30pm 
Rest day :  weekends 
Updated 24/5/2022",9.00am to 3.30pm
"Business Hour : 6.30am to 2.00pm 
Rest day : uncertain  Updated 20/5/2022",6.30am to 2.00pm
"Business Hour : 11.00am to 7.30pm
Rest day : Thursday , Guan Yin Festival , 1st & 15th of lunar month
Updated 16/4/2022",11.00am to 7.30pm
"Business Hour : 6.00am to 2.00pm 
Rest day : Monday 
Updated 29/5/2022",6.00am to 2.00pm
"Business Hour : 9.00am to 5.30pm ; weekends 9.00am to 2.30pm , 5.30pm to 9.00pm 
Rest day : Tuesday
Updated 1/9/2022



","9.00am to 5.30pm ; weekends 9.00am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour : 11.30am to 9.30pm
Rest day : Thursday
Updated 13/4/2022",11.30am to 9.30pm
"Business Hour : 10.00am to 9.00pm
Rest day : Monday
Updated 26/6/2022",10.00am to 9.00pm
"Business Hour : 6.30am to 11.30am
Rest day : Monday & Tuesday 
Updated 24/5/2022",6.30am to 11.30am
"Business Hour : 10.00am to 3.00pm , 5.30pm to 8.30pm ; 1st & 15th of lunar month 7.30 am to 3.00pm , 5.30pm to 8.30pm 
Rest day : Monday 
Updated 22/5/2022","10.00am to 3.00pm , 5.30pm to 8.30pm ; 1st & 15th of lunar month 7.30 am to 3.00pm , 5.30pm to 8.30pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : Wednesday 
Updated 24/7/2022",7.00am to 2.00pm
"Business Hour : 7.30am to 2.30pm
Rest day : Sunday
Updated 17/8/2022

",7.30am to 2.30pm
"Business Hour : 11.30am to 4.00pm 
Rest day : Monday 
Updated 11/2/2022",11.30am to 4.00pm
"Business Hour : 8.00am to 5.00pm ; 1st & 15th of lunar month 7.00am to 5.00pm 
Rest day : 2nd, 3rd, 16th & 17th of lunar month  
Updated 24/5/2022",8.00am to 5.00pm ; 1st & 15th of lunar month 7.00am to 5.00pm
"Business Hour : only open on Monday and Friday 6.45am to 10.00am 
Updated 29/4/2022",
"Business Hour : 7.00am to 1.30pm 
Rest day : Tuesday
Updated 9/4/2022",7.00am to 1.30pm
"Business Hour : 8.00am to 1.00pm  
Rest day : Wednesday Updated 17/4/2022
",8.00am to 1.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : Thursday
Updated 29/4/2022",7.00am to 2.00pm
"Business Hour : 10.00am to 5.00pm
Rest day : 2nd & 4th week Saturday & Sunday
Updated 24/5/2022",10.00am to 5.00pm
"Business Hour : 7.00am to 12.00pm
Rest day : Wednesday (regardless 1st & 15th of lunar month)
Updated 3/4/2022",7.00am to 12.00pm
"Business Hour : 6.30am to 1.30pm
Rest day : Tuesday & Thursday (if 1st & 15th of lunar month fall on Tuesday or Thursday, next day will be their rest day)
Updated 23/5/2022",6.30am to 1.30pm
"Business Hour: 11.00am to 3.00pm , 5.30pm to 10.00pm Open daily 
Updated 1/6/2022",
"Business Hour : 10.00am to 9.00pm
Rest day : Wednesday (if 1st & 15th of lunar month fall on Wednesday , next day will be their rest day)
Updated 4/5/2022",10.00am to 9.00pm
"Business Hour : 10.00am to 4.00pm  
Rest day: weekends & Public Holidays
Updated 13/4/2022
",10.00am to 4.00pm
"Business Hour : 7.30am to 2.00pm
Rest day : altenate Monday
Updated 25/1/2022",7.30am to 2.00pm
"Business Hour : 11.30am to 3.00pm
Rest day : Tuesday
Updated 2/3/2022",11.30am to 3.00pm
"Business Hour : 6.00am to 11.00am
Rest day :  4 days in a month
Updated 23/5/2022",6.00am to 11.00am
"Business Hour : 6.00am to 6.00pm 
Rest day : uncertain (once in a month, mostly on Friday) 
Updated 22/4/2022",6.00am to 6.00pm
"Business Hour : 6.00am to 11.30am  
Rest day : Monday & Tuesday
Updated 13/4/2022",6.00am to 11.30am
"Business Hour : 6.00am to 11.00am 
Rest day : Wednesday
Updated 13/4/2022",6.00am to 11.00am
"Restaurant Hour : 10.00am to 9.00pm 
Open daily 
Updated 13/4/2022",
"Business Hour : 7.30am to 2.30pm 
Rest day : Wednesday  
Updated 4/5/2022",7.30am to 2.30pm
"Business Hour : 10.00am to 6.30pm  
Rest day : Sunday
Updated 27/5/2022

",10.00am to 6.30pm
"Business Hour : 11.00am to 3.00pm , 5.00pm to 8.00pm ; weekends 11.00am to 8.00pm 
Rest day : Wednesday 
Updated 2/4/2022","11.00am to 3.00pm , 5.00pm to 8.00pm ; weekends 11.00am to 8.00pm"
"Business Hour : 12.00pm to 6.30pm   
Rest day : Saturday 
Updated 17/4/2022",12.00pm to 6.30pm
"Business Hour : 10.00am to 8.00pm
Open daily 
Updated 12/5/2022",10.00am to 8.00pm
"Business Hour : 10.30am to 3.00pm , 5.00pm to 9.00pm Rest day : Monday
Updated 13/4/2022

","10.30am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 8.30am to 1.00pm ; 1st & 15th of lunar month 6.45am to 1.00pm 
Rest day : Sunday & Public Holidays
Updated 4/5/2022",8.30am to 1.00pm ; 1st & 15th of lunar month 6.45am to 1.00pm
"Business Hour : 9.00am to 3.00pm ; 1st & 15th of lunar month 9.00am to 5.30pm 
Rest day : Monday 
Updated 7/5/2022



",9.00am to 3.00pm ; 1st & 15th of lunar month 9.00am to 5.30pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday
Updated 31/3/2022",7.00am to 2.30pm
"Business Hour : 10.30am to 3.00pm , 5.30pm to 10.00pm 
Open daily
Updated 13/4/2022","10.30am to 3.00pm , 5.30pm to 10.00pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday & Public Holidays
Updated 13/4/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : Monday
Updated 1/5/2022",7.00am to 2.00pm
"Business Hour : 7.30am to 1.30pm
Rest day : alternate Monday  
Updated 10/4/2022",7.30am to 1.30pm
"Business Hour : 11.30am to 2.30pm ; 1st & 15th of lunar month 8.00am to 2.00pm 
Rest day : weekends
Updated 23/5/222",11.30am to 2.30pm ; 1st & 15th of lunar month 8.00am to 2.00pm
"Business Hour: 7.00am to 2.00pm 
Rest day : 2nd & 16th of lunar month
Updated 13/4/2022
",
"Business Hour : 7.00am to 2.00pm
Rest day : 2nd , 9th , 16th & 24th of lunar month
Updated 30/4/2022",7.00am to 2.00pm
"Business Hour : 7.30am to 2.00pm 
Rest day : Sunday
Updated 13/4/2022",7.30am to 2.00pm
"Business Hour : 6.00pm to 8.00pm
Rest day : uncertain
Updated 4/5/2022",6.00pm to 8.00pm
"Business Hour : 6.30am to 9.30am 
Rest day : Monday 
Updated 23/5/2022",6.30am to 9.30am
"Business Hour : 6.00am to 9.00am
Rest day : Monday
Updated 17/5/2022",6.00am to 9.00am
"Business Hour : 6.30am to 1.30pm 
Rest day : Thursday 
Updated 10/4/2022",6.30am to 1.30pm
"Business Hour : 7.00am to 3.00pm
Rest day : 2nd & 16th of lunar month 
Updated 4/5/2022
",7.00am to 3.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : Thursday
Updated 4/5/2022",7.00am to 1.30pm
"Business Hour : 8.30am to 2.00pm 
Rest day : Sunday，Public Holidays & regardless 1st & 15th of lunar month
Updated 4/5/2022",8.30am to 2.00pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Thursday 
Updated 21/5/2022",7.00am to 3.00pm
"Business Hour : 10.00am to 2.30pm, 5.00pm to 8.30pm ; 1st & 15th of lunar month  7.00am to 2.30pm, 5.00pm to 8.30pm Open daily 
Updated 22/5/2022","10.00am to 2.30pm, 5.00pm to 8.30pm ; 1st & 15th of lunar month  7.00am to 2.30pm, 5.00pm to 8.30pm"
"Business Hour : 7.00am to 2.00pm
Rest day : weekends & Public Holidays  
Updated 4/8/2022",7.00am to 2.00pm
"Business Hour : 7.30am to 3.00pm 
Open daily
Updated 19/5/2022",7.30am to 3.00pm
"Business Hour : 7.00am to 11.15am 
Rest day : Tuesday 
Updated 25/3/2022",7.00am to 11.15am
"Business Hour : 12.00pm to 9.00pm
Rest day : Monday
Updated 17/7/2022",12.00pm to 9.00pm
"Business Hour : 7.00am to 4.30pm
Rest day ：Wednesday
Updated 10/4/2022

",7.00am to 4.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : alternate Wednesday  
Updated 2/8/2022",7.00am to 2.00pm
"Business Hour : 11.00am to 9.00pm 
Rest day : Monday & Tuesday 
Updated 3/8/2022",11.00am to 9.00pm
Business Hour : 11.00am to 9.00pm Rest day : Friday Updated 20/3/2022,11.00am to 9.00pm
"Business Hour : 7.00am to 8.00pm Rest day : Sunday (If 1st & 15th of lunar month fall on Sunday, next day will be their rest day.)
Updated 8/5/2022",7.00am to 8.00pm
"Business Hour :10.00am to 6.30pm  
Rest day : Wednesday
Updated 20/5/2022",
"Business Hour : 11.00am to 3.00pm, 5.00pm to 9.00pm
Rest day : Monday (include 1st & 15th of lunar month)
Updated 3/4/2022","11.00am to 3.00pm, 5.00pm to 9.00pm"
"Business Hour : 7.00am to 2.00pm Rest day : Sunday (If 1st & 15th of lunar month fall on Sunday, next day will be their rest day.)
Updated 22/5/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday & Public Holidays
Updated 18/5/2022",7.00am to 2.00pm
"Business Hour : 6.30am to 2.00pm Rest day: Wednesday (Thursday close if 1st & 15th of lunar month fall on Wednesday)
Updated 24/4/2022",6.30am to 2.00pm
"Business Hour : 11.00am to 3.00pm Rest day : Sunday (including 1st & 15th of lunar month)
Updated 8/5/2022",11.00am to 3.00pm
"Business Hour : 12.00pm to 3.00pm, 6.00pm to 9.00pm Open daily 
Updated 11/4/2022","12.00pm to 3.00pm, 6.00pm to 9.00pm"
"Business Hour : 6.30am to 10.30am Rest day : Saturday, Sunday & public holidays (include 1st & 15th of lunar month）
Updated 8/4/2022",6.30am to 10.30am
"Business Hour : 7.00am to 10.30pm ; Friday & weekend 7.00am to 11.00pm Open daily 
Updated 30/5/2022",7.00am to 10.30pm ; Friday & weekend 7.00am to 11.00pm
"Business Hour : 8.30am to 10.00pm Open daily
Updated 17/6/2022",8.30am to 10.00pm
"Business Hour : 8.30am to 9.00pm Open daily
Updated 7/6/2022",8.30am to 9.00pm
"Business Hour : 7.30am to 3.00pm Rest day : Wednesday (If 1st & 15th of lunar month fall on Wednesday, next day will be their rest day.)
Updated 17/5/2022",7.30am to 3.00pm
"Business Hour : 7.30am to 9.00pm 
Rest day : Sunday 
Updated 20/5/2022
 ",7.30am to 9.00pm
Business Hour : 11.30am to 9.30pm Rest day : Wednesday Updated 8/4/2022,11.30am to 9.30pm
"Business Hour : 9.00am to 7.00pm Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 26/5/2022",9.00am to 7.00pm
"Business Hour : 11.00am to 9.00pm
Open daily
Updated 22/8/2022",11.00am to 9.00pm
"Business Hours : 7.30am to 2.30pm
Rest day  : Monday 
Updated 31/5/2022",
"Business Hour : 7.30am to 3.00pm
Rest day : Monday
Updated 3/6/2022",7.30am to 3.00pm
"Business Hour : 11.30am to 3.00pm , 5.00pm to 9.00pm
Open daily
Updated 13/4/2022","11.30am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 10.30am to 9.30pm
Rest day : Thursday
Updated 20/4/2022",10.30am to 9.30pm
"Business Hour : 11.00am to 1.30pm
Rest day : Sunday & Public Holidays
Updated 30/4/2022",11.00am to 1.30pm
"Business Hour : 11.00am to 9.00pm Rest day : Monday (If 1st & 15th of lunar month fall on Wednesday, next day will be their rest day.)
Updated 8/5/2022",11.00am to 9.00pm
"Business Hour : 10.00am to 7.30pm Open daily 
Updated 25/5/2022",10.00am to 7.30pm
"Servicing Hour : 7.30am to 2.30pm
Rest day : Wednesday 
Updated 10/4/2022",
"Business Hour : 9.00am to 8.00pm ；Friday & weekends  9.00am to 9.00pm 
Rest day : Wednesday Updated 27/4/2022
",9.00am to 8.00pm ；Friday & weekends  9.00am to 9.00pm
"Business Hour : 11.30am to 2.30pm Rest day : Monday & Deepavali 
Updated 23/7/2022",11.30am to 2.30pm
"Business Hour : 11.30am to 2.00pm, 5.00pm to 9.00pm 
Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 24/5/2022","11.30am to 2.00pm, 5.00pm to 9.00pm"
"Business Hour : 7.30am to 11.00am Rest day : Monday (including 1st & 15th of lunar month) 
Updated 12/4/2022",7.30am to 11.00am
"Business Hour : 6.30am to 12.00pm Rest day : Monday
Updated 24/5/2022",6.30am to 12.00pm
"Business Hour : 7.30am to 2.30pm
Rest day : Sunday 
Updated 13/4/2022",7.30am to 2.30pm
"Business Hour : 8.00am to 8.00pm Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 24/5/2022",8.00am to 8.00pm
"Business Hour : 8.00am to 11.00am, 4.00pm to 10.00pm Rest day : alternate Thursday 
Updated 18/5/2022","8.00am to 11.00am, 4.00pm to 10.00pm"
"Business Hour : 7.00am to 1.00pm
Rest day : Friday 
Updated 10/8/2022",7.00am to 1.00pm
"Business Hour : 6.30am to 11.30am 
Rest day : 2nd, 3rd, 16th & 17th of lunar month Updated 21/5/2022
",6.30am to 11.30am
"Business Hour : 7.00am to 3.00pm  
Rest day : alternate Tuesday 
Updated 18/3/2022",7.00am to 3.00pm
"Business Hour ：7.30am to 6.00pm Open daily
Updated 21/5/2022
",
"Business Hour : 7.30am to 2.30pm
Rest day : Monday
Updated 17/4/2022",7.30am to 2.30pm
